"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"TO-92_Inline";2;"BC547";;;
2;"R8,R24,R25,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10k_0603";;;
3;"R6,R7,R2,R3,R1,R13,R10,R5,R4,R12,R11,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";12;"100k_0603";;;
4;"C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"2.2uF_0603_25V";;;
5;"D20,D15,D12,D19,D18,D17,D13,D14,D16,D21";"LED3mm";10;"LED";;;
6;"D5,D22,D11,D7,D10,D2,D1,D6,D3,D8,D4,D9";"D_DO-35_SOD27_P7.62mm_Horizontal";12;"1N4148";;;
7;"C12,C3,C2,C4,C10,C6,C7,C5,C11,C1";"C_Disc_D3.8mm_W2.6mm_P2.50mm";10;"0.1uF_0603_16V";;;
8;"R22,R19,R20,R23,R15,R16,R14,R18,R17,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"1k_0603";;;
9;"J1,J2,J3";"PJ301M-12";3;"PJ301M-12";;;
10;"SW4,SW1,SW8,SW6,SW3,SW7,SW9,SW2,SW5,SW10";"Switch_Toggle_SPDT_Mini_SolderLug";10;"SW_SPDT";;;
11;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_MountingPin";;;
12;"U3,U1,U8,U6";"DIP-14_W7.62mm_LongPads";4;"CD40106BPWR";;;
13;"J10,J8";"PinSocket_1x10_P2.54mm_Vertical";2;"Conn_01x10_MountingPin";;;
14;"U4";"DIP-8_W7.62mm";1;"NE555P";;;
15;"RV2";"Pot_9mm_Knurl_NoDet";1;"Clock Rate";;;
16;"U2";"DIP-16_W7.62mm_LongPads";1;"4017";;;
17;"C13";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"10nF_0603_25V";;;
18;"RV1";"Pot_9mm_Knurl_NoDet";1;"Gate Length Pot";;;
19;"J9";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05_MountingPin";;;
20;"C9";"CP_Radial_D7.5mm_P2.50mm";1;"47uF_5x5.3_16V";;;
21;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_MountingPin";;;
22;"J4,J11";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10_MountingPin";;;
23;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_MountingPin";;;
24;"H2";"Pins_2x08_2.54mm_TH_EuroPower_Shrouded";1;"PIN_HEADER_2x8";;;
